program_id;sehir_id;yerlesen_sayisi
106510090;45;1
106510090;58;1
106510090;17;1
106510090;41;1
106510090;38;22
106510090;68;1
106510090;23;3
106510090;6;2
106510090;42;1
106510090;35;1
106510090;59;1
106510090;65;1
106510090;33;1
106510090;60;1
106510090;44;1
106510090;18;1
106510090;80;1
106510089;6;4
106510089;62;1
106510089;77;1
106510089;10;1
106510089;58;2
106510089;46;1
106510089;29;1
106510089;38;38
106510089;33;1
106510089;34;1
106510089;23;1
106510014;33;1
106510014;42;3
106510014;35;1
106510014;27;1
106510014;65;1
106510014;1;1
106510014;38;26
106510014;34;1
106510014;63;2
106510014;19;1
106510014;16;1
106510014;46;1
106510014;68;1
106510014;20;1
106510014;4;1
106510014;40;1
106510014;28;1
106510014;55;1
106510014;5;1
106510014;58;2
106510014;6;4
106510014;31;2
106510014;9;3
106510014;51;1
106510014;64;1
106510014;80;2
106510077;51;3
106510077;9;1
106510077;27;1
106510077;20;2
106510077;67;1
106510077;43;1
106510077;38;18
106510077;33;4
106510077;7;1
106510077;1;5
106510077;48;1
106510077;6;2
106510077;60;1
106510077;5;2
106510077;81;1
106510077;25;2
106510077;41;1
106510077;56;1
106510077;23;1
106510077;42;3
106510077;13;1
106510077;59;1
106510077;63;1
106510077;3;1
106510077;55;1
106510077;21;1
106510077;24;1
106510077;57;1
106510077;45;1
106510077;40;1
106510077;16;2
106510077;35;1
106510077;34;4
106510077;44;1
106510077;61;1
106510077;32;1
106510068;16;1
106510068;23;1
106510068;11;1
106510068;35;1
106510068;46;2
106510068;10;2
106510068;2;1
106510068;68;1
106510068;21;2
106510068;50;2
106510068;17;2
106510068;3;1
106510068;72;1
106510068;70;1
106510068;38;26
106510068;34;3
106510068;45;1
106510068;51;1
106510068;1;1
106510068;63;1
106510068;31;1
106510068;26;1
106510068;66;2
106510068;8;1
106510068;6;4
106510068;42;10
106510068;44;1
106510023;38;18
106510023;54;1
106510023;35;2
106510023;9;1
106510023;20;1
106510023;32;1
106510023;42;5
106510023;58;1
106510023;34;6
106510023;23;1
106510023;31;1
106510023;50;3
106510023;46;2
106510023;27;1
106510023;40;1
106510023;44;1
106510023;21;2
106510023;1;2
106510023;51;3
106510023;16;1
106510023;26;2
106510023;6;6
106510032;6;4
106510032;38;44
106510032;65;1
106510032;58;2
106510032;48;1
106510032;50;2
106510032;4;1
106510032;80;1
106510032;10;1
106510032;23;2
106510032;66;1
106510032;28;1
106510032;46;1
106510041;67;2
106510041;70;1
106510041;55;1
106510041;34;5
106510041;58;1
106510041;42;1
106510041;35;2
106510041;1;1
106510041;33;2
106510041;6;2
106510041;38;25
106510041;50;2
106510041;46;1
106510041;40;1
106510041;26;2
106510041;41;1
106510041;68;1
106510041;54;1
106510041;47;1
106510041;66;1
106510041;36;1
106510041;10;1
106510041;44;1
106510041;71;1
106510041;51;1
106510041;59;1
106510041;61;1
106510041;16;1
106510087;21;1
106510087;43;1
106510087;15;1
106510087;27;1
106510087;66;1
106510087;34;4
106510087;1;2
106510087;7;2
106510087;46;1
106510087;35;1
106510087;70;1
106510087;48;1
106510087;25;1
106510087;33;2
106510087;41;2
106510087;59;1
106510087;42;2
106510087;50;1
106510087;6;7
106510087;58;1
106510087;31;1
106510087;19;1
106510087;38;24
106510087;79;1
106510087;68;1
106510086;34;1
106510086;33;2
106510086;42;1
106510086;50;1
106510086;19;1
106510086;58;2
106510086;21;2
106510086;59;1
106510086;48;2
106510086;26;1
106510086;7;1
106510086;51;1
106510086;45;2
106510086;46;2
106510086;55;1
106510086;1;4
106510086;44;1
106510086;61;1
106510086;32;1
106510086;52;1
106510086;27;1
106510086;35;1
106510086;31;1
106510086;80;1
106510086;6;1
106510086;38;28
106510088;6;2
106510088;34;3
106510088;29;1
106510088;42;1
106510088;33;1
106510088;58;1
106510088;76;1
106510088;46;2
106510088;55;1
106510088;38;38
106510088;44;1
106510059;34;1
106510059;46;1
106510059;38;51
106510059;44;1
106510059;48;1
106510059;16;1
106510059;39;1
106510059;66;1
106510059;21;1
106510059;42;1
106510059;52;1
106510059;6;1
200110265;55;1
200110265;35;2
200110265;29;1
200110265;34;8
200110265;63;1
200110265;10;1
200110265;1;2
200110265;32;1
200110265;17;1
200110265;7;2
200110265;20;1
200110265;6;2
200110265;9;1
200110265;27;2
200110265;67;1
200110265;2;1
200110265;41;2
200110265;16;1
200110265;47;1
200110265;54;1
200110274;34;2
200110274;7;1
200110274;30;1
200110274;41;1
200110274;1;1
200110274;42;2
200190060;41;1
200190060;7;1
200190060;34;5
200190060;35;1
200190060;1;1
200190060;27;2
200190060;16;1
200110211;35;1
200110211;41;1
200110211;46;1
200110211;26;2
200110211;7;1
200110229;16;2
200110229;1;1
200110229;27;2
200110229;31;1
200110229;34;24
200110229;35;3
200110229;41;1
200110114;10;2
200110114;24;1
200110114;21;1
200110114;35;1
200110114;16;3
200110114;27;3
200110114;39;1
200110114;59;1
200110114;1;1
200110114;7;1
200110114;38;1
200110114;31;1
200110114;46;3
200110114;52;1
200110114;41;2
200110114;9;2
200110114;77;1
200110114;34;16
200110123;44;1
200110123;34;5
200110123;42;1
200110123;26;1
200110123;7;1
200190040;52;1
200190040;16;1
200190040;42;1
200190040;34;2
200190040;46;2
200190040;54;1
200190040;15;1
200190050;7;1
200190050;27;1
200190050;48;1
200190050;43;1
200190050;35;2
200190050;63;1
200190050;16;1
200190050;34;20
200190050;1;2
200190050;54;2
200190051;34;4
200190051;33;2
200190051;74;2
200190052;17;1
200190052;27;1
200190052;34;7
200190052;48;1
200190026;16;2
200190026;48;1
200190026;34;1
200190027;42;1
200190027;33;1
200190027;34;11
200190027;1;1
200190027;77;1
200190027;0;1
200110202;25;1
200110202;7;1
200110202;34;2
200110202;35;1
200110292;54;1
200110292;42;1
200110292;31;1
200110292;10;2
200110292;41;2
200110292;34;23
200110292;22;1
200190061;25;1
200190061;16;1
200190061;33;2
200190061;54;1
200190061;34;6
200110141;48;1
200110141;6;1
200110141;77;1
200110141;40;1
200110141;67;1
200110141;16;1
200110141;34;3
200110168;7;1
200110168;59;1
200110168;54;2
200110168;41;4
200110168;42;1
200110168;44;2
200110168;31;1
200110168;45;1
200110168;20;1
200110168;10;1
200110168;39;1
200110168;1;1
200110168;34;16
200110168;16;3
200110168;33;2
200110168;14;2
200190055;38;1
200190055;64;2
200190055;16;1
200190055;35;2
200190055;54;1
200190055;34;3
200190055;6;1
200190056;34;5
200190056;81;1
200190056;58;1
200190056;41;2
200190057;38;1
200190057;10;3
200190057;63;1
200190057;41;3
200190057;14;1
200190057;7;1
200190057;1;1
200190057;28;2
200190057;44;1
200190057;34;15
200190057;59;1
200190057;77;1
200190057;66;1
200190057;3;1
200190057;9;1
200190057;16;4
200190057;27;2
200110044;41;1
200110044;17;1
200110044;39;2
200110044;38;1
200110044;34;4
200110326;39;1
200110326;9;1
200110326;7;2
200110326;48;4
200110326;10;1
200110326;34;25
200110326;54;2
200110326;16;1
200110326;23;1
200110326;22;1
200110326;15;1
200110326;26;1
200110326;63;1
200110326;6;1
200110326;3;1
200110326;74;2
200110326;46;1
200110326;33;2
200110326;59;2
200110053;31;1
200110053;34;4
200110053;52;1
200110053;49;1
200110053;63;1
200110053;81;1
200110053;56;1
200110053;71;1
200110053;41;1
200110159;54;1
200110159;34;41
200110159;41;1
200110159;9;1
200110159;67;1
200110159;7;2
200110159;44;1
200110159;31;1
200110159;55;1
200110159;60;2
200110159;47;1
200110159;15;1
200110159;6;1
200110159;52;1
200110159;16;2
200110159;39;1
200110159;76;1
200110159;27;1
200110159;63;3
200110159;66;1
200110159;75;1
200110159;1;1
200110159;45;1
200190053;63;1
200190053;60;1
200190053;34;5
200190053;16;1
200190053;25;1
200190054;41;2
200190054;34;33
200190054;10;1
200190054;20;1
200190054;7;3
200190054;1;2
200190054;16;1
200190054;42;1
200190054;58;1
200190054;29;1
200190054;5;1
200190054;48;1
200190054;35;1
200190054;15;1
200190054;24;1
200110026;16;2
200110026;34;2
200110177;34;16
200110177;35;1
200110177;17;2
200110177;22;1
200110177;1;1
200110071;21;3
200110071;34;2
200110071;9;1
200110071;35;2
200110071;64;1
200110071;42;1
200110071;29;1
200110071;38;2
200110071;32;1
200110071;1;1
200110071;27;5
200110238;41;1
200110238;35;1
200110238;27;1
200110238;1;3
200110238;6;2
200110238;16;1
200110238;31;2
200110238;25;1
200110238;5;1
200110238;7;1
200110238;34;3
200110238;80;2
200110238;58;1
110410223;16;1
110410223;27;3
110410223;28;1
110410223;47;1
110410223;23;1
110410223;21;1
110410223;10;1
110410223;20;1
110410223;58;1
110410223;26;1
110410223;63;1
